SalesOrderNumber,SalesOrderLineNumber,OrderDate,CalendarYear,CalendarMonth,CalendarDay,EnglishMonthName,FullName,Gender,MaritalStatus,BirthDate,Age,YearlyIncome,TotalChildren,DateFirstPurchase,TenureDays,City,EnglishCountryRegionName,SalesTerritoryGroup,EnglishProductName,Color,Class,ProductLine,OrderQuantity,SalesAmount,TaxAmt,Freight,TotalPaid,AgeGroup,TaxRate%
SO43707,1,2010-12-31,2010,12,31,December,Emma Brown,F,S,1971-06-10,54,120000.0,3,2010-12-31,0,Lemon Grove,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43708,1,2010-12-31,2010,12,31,December,Brad Deng,M,M,1979-11-01,45,40000.0,1,2010-12-31,0,Liverpool,United Kingdom,Europe,"Road-650 Red, 52",Red,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(42.0, 45.0]",7.239823866192986
SO43709,1,2010-12-31,2010,12,31,December,Martha Xu,F,S,1960-01-04,65,80000.0,2,2010-12-31,0,Rockhampton,Australia,Pacific,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43710,1,2010-12-31,2010,12,31,December,Katrina Raji,F,M,1981-09-16,43,10000.0,1,2010-12-31,0,Wollongong,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43711,1,2011-01-01,2011,1,1,January,Courtney Edwards,F,S,1962-11-24,62,70000.0,2,2011-01-01,0,Milwaukie,United States,North America,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43712,1,2011-01-01,2011,1,1,January,Abigail Henderson,F,M,1947-03-08,78,30000.0,1,2011-01-01,0,Werne,Germany,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(72.0, 109.0]",7.23981891297405
SO43713,1,2011-01-02,2011,1,2,January,Sydney Rogers,F,S,1970-05-06,55,60000.0,3,2011-01-02,0,Burbank,United States,North America,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43714,1,2011-01-02,2011,1,2,January,Latasha Alonso,F,M,1964-05-21,61,170000.0,0,2011-01-02,0,York,United Kingdom,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(57.0, 61.0]",7.23981891297405
SO43715,1,2011-01-02,2011,1,2,January,Warren Jai,M,M,1961-10-13,63,40000.0,2,2011-01-02,0,Melbourne,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43716,1,2011-01-02,2011,1,2,January,Jonathon Gutierrez,M,M,1983-01-25,42,20000.0,0,2011-01-02,0,Goulburn,Australia,Pacific,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43717,1,2011-01-02,2011,1,2,January,Alexandra Watson,F,S,1963-02-05,62,70000.0,1,2011-01-02,0,Goulburn,Australia,Pacific,"Road-650 Black, 62",Black,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(61.0, 65.0]",7.239823866192986
SO43718,1,2011-01-03,2011,1,3,January,Kevin Gonzalez,M,S,1959-04-25,66,70000.0,3,2011-01-03,0,Kirkland,United States,North America,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43719,1,2011-01-03,2011,1,3,January,Lucas Hill,M,M,1978-11-18,46,60000.0,2,2011-01-03,0,Berkeley,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(45.0, 48.0]",7.23981891297405
SO43720,1,2011-01-03,2011,1,3,January,Melanie Sanchez,F,M,1961-11-20,63,120000.0,3,2011-01-03,0,Ingolstadt,Germany,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43721,1,2011-01-03,2011,1,3,January,Louis Xie,M,M,1958-11-15,66,170000.0,0,2011-01-03,0,York,United Kingdom,Europe,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43722,1,2011-01-04,2011,1,4,January,Albert Blanco,M,M,1952-04-17,73,130000.0,4,2011-01-04,0,Esher-Molesey,United Kingdom,Europe,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(72.0, 109.0]",7.23981891297405
SO43723,1,2011-01-04,2011,1,4,January,Bonnie Xu,F,S,1984-06-16,41,40000.0,0,2011-01-04,0,Bremerton,United States,North America,"Road-650 Black, 58",Black,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(38.999, 42.0]",7.239823866192986
SO43724,1,2011-01-04,2011,1,4,January,Misty Raji,F,M,1982-04-22,43,10000.0,1,2011-01-04,0,Bendigo,Australia,Pacific,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43725,1,2011-01-05,2011,1,5,January,Anne Dominguez,F,M,1962-08-31,62,130000.0,2,2011-01-05,0,Kassel,Germany,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43726,1,2011-01-05,2011,1,5,January,Kelvin Huang,M,M,1976-03-31,49,50000.0,1,2011-01-05,0,Bellflower,United States,North America,"Road-650 Black, 58",Black,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(48.0, 51.0]",7.239823866192986
SO43727,1,2011-01-05,2011,1,5,January,Logan Gonzales,M,M,1981-02-23,44,70000.0,0,2011-01-05,0,Brisbane,Australia,Pacific,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43728,1,2011-01-06,2011,1,6,January,Alyssa Garcia,F,M,1960-01-23,65,60000.0,3,2011-01-06,0,Fremont,United States,North America,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43729,1,2011-01-06,2011,1,6,January,Mayra Prasad,F,S,1964-02-07,61,130000.0,2,2011-01-06,0,Birmingham,United Kingdom,Europe,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(57.0, 61.0]",7.23981890817354
SO43730,1,2011-01-06,2011,1,6,January,Garrett Cooper,M,M,1950-08-26,74,30000.0,5,2011-01-06,0,Woodland Hills,United States,North America,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(72.0, 109.0]",7.23981890817354
SO43731,1,2011-01-06,2011,1,6,January,Rosa Zheng,F,S,1978-03-13,47,110000.0,0,2011-01-06,0,Matraville,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(45.0, 48.0]",7.23981891297405
SO43732,1,2011-01-06,2011,1,6,January,Alejandro Beck,M,M,1951-06-22,74,10000.0,2,2011-01-06,0,Hawthorne,Australia,Pacific,"Mountain-100 Black, 44",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(72.0, 109.0]",7.239818907459823
SO43733,1,2011-01-06,2011,1,6,January,Patrick Cook,M,S,1963-12-02,61,60000.0,1,2011-01-06,0,Port Orchard,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(57.0, 61.0]",7.23981891297405
SO43734,1,2011-01-07,2011,1,7,January,Richard Brooks,M,M,1962-08-31,62,60000.0,2,2011-01-07,0,Port Orchard,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43735,1,2011-01-07,2011,1,7,January,Casey Pal,F,M,1985-01-01,40,10000.0,1,2011-01-07,0,Caloundra,Australia,Pacific,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43736,1,2011-01-07,2011,1,7,January,Ruben Torres,M,M,1971-02-09,54,60000.0,3,2011-01-07,0,Hobart,Australia,Pacific,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43737,1,2011-01-08,2011,1,8,January,Lindsey Andersen,F,M,1962-10-03,62,130000.0,3,2011-01-08,0,Paderborn,Germany,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43738,1,2011-01-08,2011,1,8,January,Melody Ramos,F,S,1986-01-30,39,10000.0,0,2011-01-08,0,Morangis,France,Europe,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43739,1,2011-01-08,2011,1,8,January,Phillip Sai,M,M,1975-01-29,50,50000.0,0,2011-01-08,0,Stoke-on-Trent,United Kingdom,Europe,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(48.0, 51.0]",7.23981891297405
SO43740,1,2011-01-08,2011,1,8,January,Cory Arun,M,S,1983-12-18,41,20000.0,0,2011-01-08,0,Milsons Point,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43741,1,2011-01-09,2011,1,9,January,Jeremiah Martinez,M,S,1958-09-01,66,70000.0,3,2011-01-09,0,Ballard,United States,North America,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43742,1,2011-01-09,2011,1,9,January,Tamara Lal,F,S,1961-06-17,64,160000.0,3,2011-01-09,0,London,United Kingdom,Europe,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43743,1,2011-01-09,2011,1,9,January,Marco Mehta,M,M,1969-11-06,55,60000.0,3,2011-01-09,0,Warrnambool,Australia,Pacific,"Mountain-100 Silver, 48",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43744,1,2011-01-09,2011,1,9,January,Haley Ward,F,S,1976-09-16,48,90000.0,0,2011-01-09,0,Rockhampton,Australia,Pacific,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(45.0, 48.0]",7.23981891297405
SO43745,1,2011-01-10,2011,1,10,January,Manuel Fernandez,M,S,1985-07-10,40,10000.0,0,2011-01-10,0,Malabar,Australia,Pacific,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43746,1,2011-01-10,2011,1,10,January,Kelvin Liang,M,S,1985-06-02,40,90000.0,0,2011-01-10,0,Perth,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43747,1,2011-01-11,2011,1,11,January,Christian Jackson,M,S,1962-06-02,63,80000.0,3,2011-01-11,0,Lincoln Acres,United States,North America,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43748,1,2011-01-11,2011,1,11,January,Alexandria Hughes,F,S,1961-09-29,63,90000.0,2,2011-01-11,0,Lake Oswego,United States,North America,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43749,1,2011-01-11,2011,1,11,January,Paige Murphy,F,M,1968-04-03,57,100000.0,1,2011-01-11,0,Issaquah,United States,North America,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43750,1,2011-01-11,2011,1,11,January,Stacey Lu,F,S,1968-11-12,56,30000.0,3,2011-01-11,0,Versailles,France,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43751,1,2011-01-11,2011,1,11,January,Darrell Raji,M,S,1984-03-03,41,20000.0,0,2011-01-11,0,Paris,France,Europe,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43752,1,2011-01-11,2011,1,11,January,Luke Adams,M,S,1961-07-21,64,120000.0,3,2011-01-11,0,Paderborn,Germany,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43753,1,2011-01-11,2011,1,11,January,Tabitha Arthur,F,M,1955-11-12,69,30000.0,3,2011-01-11,0,Bendigo,Australia,Pacific,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43754,1,2011-01-12,2011,1,12,January,Morgan Phillips,F,S,1980-07-18,45,90000.0,0,2011-01-12,0,Olympia,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43755,1,2011-01-12,2011,1,12,January,Kayla Long,F,S,1970-01-01,55,70000.0,3,2011-01-12,0,Novato,United States,North America,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43756,1,2011-01-12,2011,1,12,January,Cedric Liang,M,S,1954-09-08,70,160000.0,3,2011-01-12,0,London,United Kingdom,Europe,"Road-650 Black, 58",Black,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(65.0, 72.0]",7.239823866192986
SO43757,1,2011-01-12,2011,1,12,January,Shannon Wang,F,S,1949-12-24,75,20000.0,4,2011-01-12,0,Sunbury,Australia,Pacific,"Mountain-100 Black, 44",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(72.0, 109.0]",7.239818907459823
SO43758,1,2011-01-13,2011,1,13,January,Jackson Li,M,S,1967-05-13,58,130000.0,1,2011-01-13,0,Imperial Beach,United States,North America,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(57.0, 61.0]",7.23981891297405
SO43759,1,2011-01-13,2011,1,13,January,Jon Chander,M,M,1963-01-03,62,130000.0,2,2011-01-13,0,Hof,Germany,Europe,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43760,1,2011-01-13,2011,1,13,January,Tiffany Gao,F,S,1965-08-02,60,80000.0,2,2011-01-13,0,Goulburn,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(57.0, 61.0]",7.23981891297405
SO43761,1,2011-01-13,2011,1,13,January,Brenda Fernandez,F,M,1959-05-05,66,40000.0,3,2011-01-13,0,Seaford,Australia,Pacific,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43762,1,2011-01-14,2011,1,14,January,Courtney Carter,F,M,1964-05-07,61,60000.0,1,2011-01-14,0,Lakewood,United States,North America,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(57.0, 61.0]",7.23981891297405
SO43763,1,2011-01-14,2011,1,14,January,Martha Liang,F,M,1983-11-22,41,20000.0,0,2011-01-14,0,Goulburn,Australia,Pacific,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43764,1,2011-01-14,2011,1,14,January,Ebony Ashe,F,S,1981-02-18,44,90000.0,0,2011-01-14,0,Matraville,Australia,Pacific,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43765,1,2011-01-14,2011,1,14,January,Jacquelyn Suarez,F,S,1969-08-05,56,70000.0,0,2011-01-14,0,East Brisbane,Australia,Pacific,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43766,1,2011-01-15,2011,1,15,January,Krystal Holt,F,S,1981-12-17,43,10000.0,1,2011-01-15,0,Cranbourne,Australia,Pacific,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(42.0, 45.0]",7.23981891297405
SO43767,1,2011-01-15,2011,1,15,January,Eugene Huang,M,S,1976-05-10,49,60000.0,3,2011-01-15,0,Seaford,Australia,Pacific,"Mountain-100 Black, 44",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(48.0, 51.0]",7.239818907459823
SO43768,1,2011-01-16,2011,1,16,January,Evan Bailey,M,M,1960-12-05,64,60000.0,2,2011-01-16,0,Seattle,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43769,1,2011-01-16,2011,1,16,January,Gabrielle Jenkins,F,M,1968-12-22,56,60000.0,3,2011-01-16,0,Haney,Canada,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(53.0, 57.0]",7.23981891297405
SO43770,1,2011-01-16,2011,1,16,January,Warren Ye,M,M,1962-01-05,63,60000.0,2,2011-01-16,0,Bellingham,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43771,1,2011-01-16,2011,1,16,January,Ashley Washington,F,M,1976-03-20,49,50000.0,1,2011-01-16,0,Long Beach,United States,North America,"Road-650 Red, 52",Red,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(48.0, 51.0]",7.239823866192986
SO43772,1,2011-01-16,2011,1,16,January,Damien Huang,M,M,1985-01-20,40,20000.0,0,2011-01-16,0,Hawthorne,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43773,1,2011-01-16,2011,1,16,January,Arthur Perez,M,S,1984-04-23,41,20000.0,0,2011-01-16,0,Sunbury,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43774,1,2011-01-16,2011,1,16,January,Roy Raman,M,M,1960-01-01,65,80000.0,2,2011-01-16,0,Goulburn,Australia,Pacific,"Road-150 Red, 52",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43775,1,2011-01-16,2011,1,16,January,Jessie Zhao,M,M,1952-06-05,73,30000.0,2,2011-01-16,0,Warrnambool,Australia,Pacific,"Mountain-100 Silver, 48",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(72.0, 109.0]",7.23981890817354
SO43776,1,2011-01-17,2011,1,17,January,James Flores,M,M,1963-04-08,62,130000.0,3,2011-01-17,0,Neunkirchen,Germany,Europe,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43777,1,2011-01-17,2011,1,17,January,Troy Sai,M,M,1985-08-03,40,10000.0,0,2011-01-17,0,Hobart,Australia,Pacific,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43778,1,2011-01-17,2011,1,17,January,Clarence Rai,M,S,1955-10-06,69,30000.0,2,2011-01-17,0,Bendigo,Australia,Pacific,"Mountain-100 Silver, 42",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(65.0, 72.0]",7.23981890817354
SO43779,1,2011-01-17,2011,1,17,January,Warren Zhang,M,S,1961-10-02,63,80000.0,1,2011-01-17,0,Coffs Harbour,Australia,Pacific,"Road-650 Red, 44",Red,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(61.0, 65.0]",7.239823866192986
SO43780,1,2011-01-18,2011,1,18,January,Melody Diaz,F,S,1983-03-16,42,20000.0,0,2011-01-18,0,Les Ulis,France,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43781,1,2011-01-18,2011,1,18,January,Monique Ramos,F,S,1960-02-05,65,80000.0,2,2011-01-18,0,Warrnambool,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43782,1,2011-01-18,2011,1,18,January,Melvin She,M,M,1986-01-24,39,20000.0,0,2011-01-18,0,Townsville,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43783,1,2011-01-18,2011,1,18,January,Cameron Thompson,M,M,1984-05-12,41,90000.0,0,2011-01-18,0,Sydney,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43784,1,2011-01-19,2011,1,19,January,Jessica Sanchez,F,M,1960-06-20,65,70000.0,3,2011-01-19,0,Daly City,United States,North America,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(61.0, 65.0]",7.23981891297405
SO43785,1,2011-01-19,2011,1,19,January,Ivan Raman,M,S,1983-02-18,42,30000.0,0,2011-01-19,0,Versailles,France,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43786,1,2011-01-19,2011,1,19,January,Clinton Moreno,M,S,1986-05-05,39,20000.0,0,2011-01-19,0,Paris,France,Europe,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43787,1,2011-01-19,2011,1,19,January,Don Lal,M,S,1968-09-01,56,20000.0,4,2011-01-19,0,Berlin,Germany,Europe,"Mountain-100 Silver, 38",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43788,1,2011-01-19,2011,1,19,January,Latoya Goel,F,M,1969-10-02,55,130000.0,2,2011-01-19,0,London,United Kingdom,Europe,"Mountain-100 Black, 48",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(53.0, 57.0]",7.239818907459823
SO43789,1,2011-01-19,2011,1,19,January,Tristan Butler,M,M,1951-11-06,73,40000.0,5,2011-01-19,0,Kirkland,United States,North America,"Mountain-100 Black, 48",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(72.0, 109.0]",7.239818907459823
SO43790,1,2011-01-19,2011,1,19,January,Abigail Perry,F,S,1950-03-05,75,30000.0,5,2011-01-19,0,W. Linn,United States,North America,"Mountain-100 Silver, 38",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(72.0, 109.0]",7.23981890817354
SO43791,1,2011-01-19,2011,1,19,January,Dustin Lal,M,M,1955-08-07,70,40000.0,2,2011-01-19,0,Springwood,Australia,Pacific,"Road-150 Red, 56",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(65.0, 72.0]",7.23981891297405
SO43792,1,2011-01-19,2011,1,19,January,Andres Lal,M,S,1979-03-04,46,150000.0,5,2011-01-19,0,Port Macquarie,Australia,Pacific,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(45.0, 48.0]",7.23981891297405
