SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,SalesAmount,TaxAmt,Freight,DiscountAmount,FirstName,LastName,BirthDate,Gender,MaritalStatus,YearlyIncome,TotalChildren,DateFirstPurchase,EnglishProductName,Color,Class,ProductLine,OrderDate,CalendarYear,EnglishMonthName,City,EnglishCountryRegionName,englishPromotionName,DiscountPct,SalesTerritoryGroup
SO43713,1,1,3578.27,286.2616,89.4568,0.0,Sydney,Rogers,1970-05-06,F,S,60000.0,3,2011-01-02,"Road-150 Red, 62",Red,H ,R ,2011-01-02,2011,January,Burbank,United States,No Discount,0.0,North America
SO43714,1,1,3578.27,286.2616,89.4568,0.0,Latasha,Alonso,1964-05-21,F,M,170000.0,0,2011-01-02,"Road-150 Red, 44",Red,H ,R ,2011-01-02,2011,January,York,United Kingdom,No Discount,0.0,Europe
SO43715,1,1,3578.27,286.2616,89.4568,0.0,Warren,Jai,1961-10-13,M,M,40000.0,2,2011-01-02,"Road-150 Red, 56",Red,H ,R ,2011-01-02,2011,January,Melbourne,Australia,No Discount,0.0,Pacific
SO43716,1,1,3578.27,286.2616,89.4568,0.0,Jonathon,Gutierrez,1983-01-25,M,M,20000.0,0,2011-01-02,"Road-150 Red, 44",Red,H ,R ,2011-01-02,2011,January,Goulburn,Australia,No Discount,0.0,Pacific
SO43717,1,1,699.0982,55.9279,17.4775,0.0,Alexandra,Watson,1963-02-05,F,S,70000.0,1,2011-01-02,"Road-650 Black, 62",Black,L ,R ,2011-01-02,2011,January,Goulburn,Australia,No Discount,0.0,Pacific
SO43718,1,1,3578.27,286.2616,89.4568,0.0,Kevin,Gonzalez,1959-04-25,M,S,70000.0,3,2011-01-03,"Road-150 Red, 44",Red,H ,R ,2011-01-03,2011,January,Kirkland,United States,No Discount,0.0,North America
SO43719,1,1,3578.27,286.2616,89.4568,0.0,Lucas,Hill,1978-11-18,M,M,60000.0,2,2011-01-03,"Road-150 Red, 48",Red,H ,R ,2011-01-03,2011,January,Berkeley,United States,No Discount,0.0,North America
SO43720,1,1,3578.27,286.2616,89.4568,0.0,Melanie,Sanchez,1961-11-20,F,M,120000.0,3,2011-01-03,"Road-150 Red, 44",Red,H ,R ,2011-01-03,2011,January,Ingolstadt,Germany,No Discount,0.0,Europe
SO43721,1,1,3578.27,286.2616,89.4568,0.0,Louis,Xie,1958-11-15,M,M,170000.0,0,2011-01-03,"Road-150 Red, 62",Red,H ,R ,2011-01-03,2011,January,York,United Kingdom,No Discount,0.0,Europe
SO43722,1,1,3578.27,286.2616,89.4568,0.0,Albert,Blanco,1952-04-17,M,M,130000.0,4,2011-01-04,"Road-150 Red, 48",Red,H ,R ,2011-01-04,2011,January,Esher-Molesey,United Kingdom,No Discount,0.0,Europe
SO43723,1,1,699.0982,55.9279,17.4775,0.0,Bonnie,Xu,1984-06-16,F,S,40000.0,0,2011-01-04,"Road-650 Black, 58",Black,L ,R ,2011-01-04,2011,January,Bremerton,United States,No Discount,0.0,North America
SO43724,1,1,3578.27,286.2616,89.4568,0.0,Misty,Raji,1982-04-22,F,M,10000.0,1,2011-01-04,"Road-150 Red, 44",Red,H ,R ,2011-01-04,2011,January,Bendigo,Australia,No Discount,0.0,Pacific
SO43725,1,1,3578.27,286.2616,89.4568,0.0,Anne,Dominguez,1962-08-31,F,M,130000.0,2,2011-01-05,"Road-150 Red, 44",Red,H ,R ,2011-01-05,2011,January,Kassel,Germany,No Discount,0.0,Europe
SO43726,1,1,699.0982,55.9279,17.4775,0.0,Kelvin,Huang,1976-03-31,M,M,50000.0,1,2011-01-05,"Road-650 Black, 58",Black,L ,R ,2011-01-05,2011,January,Bellflower,United States,No Discount,0.0,North America
SO43727,1,1,3578.27,286.2616,89.4568,0.0,Logan,Gonzales,1981-02-23,M,M,70000.0,0,2011-01-05,"Road-150 Red, 44",Red,H ,R ,2011-01-05,2011,January,Brisbane,Australia,No Discount,0.0,Pacific
SO43728,1,1,3578.27,286.2616,89.4568,0.0,Alyssa,Garcia,1960-01-23,F,M,60000.0,3,2011-01-06,"Road-150 Red, 52",Red,H ,R ,2011-01-06,2011,January,Fremont,United States,No Discount,0.0,North America
SO43729,1,1,3399.99,271.9992,84.9998,0.0,Mayra,Prasad,1964-02-07,F,S,130000.0,2,2011-01-06,"Mountain-100 Silver, 44",Silver,H ,M ,2011-01-06,2011,January,Birmingham,United Kingdom,No Discount,0.0,Europe
SO43730,1,1,3399.99,271.9992,84.9998,0.0,Garrett,Cooper,1950-08-26,M,M,30000.0,5,2011-01-06,"Mountain-100 Silver, 44",Silver,H ,M ,2011-01-06,2011,January,Woodland Hills,United States,No Discount,0.0,North America
SO43731,1,1,3578.27,286.2616,89.4568,0.0,Rosa,Zheng,1978-03-13,F,S,110000.0,0,2011-01-06,"Road-150 Red, 56",Red,H ,R ,2011-01-06,2011,January,Matraville,Australia,No Discount,0.0,Pacific
SO43732,1,1,3374.99,269.9992,84.3748,0.0,Alejandro,Beck,1951-06-22,M,M,10000.0,2,2011-01-06,"Mountain-100 Black, 44",Black,H ,M ,2011-01-06,2011,January,Hawthorne,Australia,No Discount,0.0,Pacific
SO43733,1,1,3578.27,286.2616,89.4568,0.0,Patrick,Cook,1963-12-02,M,S,60000.0,1,2011-01-06,"Road-150 Red, 48",Red,H ,R ,2011-01-06,2011,January,Port Orchard,United States,No Discount,0.0,North America
SO43734,1,1,3578.27,286.2616,89.4568,0.0,Richard,Brooks,1962-08-31,M,M,60000.0,2,2011-01-07,"Road-150 Red, 48",Red,H ,R ,2011-01-07,2011,January,Port Orchard,United States,No Discount,0.0,North America
SO43735,1,1,3578.27,286.2616,89.4568,0.0,Casey,Pal,1985-01-01,F,M,10000.0,1,2011-01-07,"Road-150 Red, 62",Red,H ,R ,2011-01-07,2011,January,Caloundra,Australia,No Discount,0.0,Pacific
SO43736,1,1,3399.99,271.9992,84.9998,0.0,Ruben,Torres,1971-02-09,M,M,60000.0,3,2011-01-07,"Mountain-100 Silver, 44",Silver,H ,M ,2011-01-07,2011,January,Hobart,Australia,No Discount,0.0,Pacific
SO43737,1,1,3578.27,286.2616,89.4568,0.0,Lindsey,Andersen,1962-10-03,F,M,130000.0,3,2011-01-08,"Road-150 Red, 44",Red,H ,R ,2011-01-08,2011,January,Paderborn,Germany,No Discount,0.0,Europe
SO43738,1,1,3578.27,286.2616,89.4568,0.0,Melody,Ramos,1986-01-30,F,S,10000.0,0,2011-01-08,"Road-150 Red, 48",Red,H ,R ,2011-01-08,2011,January,Morangis,France,No Discount,0.0,Europe
SO43739,1,1,3578.27,286.2616,89.4568,0.0,Phillip,Sai,1975-01-29,M,M,50000.0,0,2011-01-08,"Road-150 Red, 62",Red,H ,R ,2011-01-08,2011,January,Stoke-on-Trent,United Kingdom,No Discount,0.0,Europe
SO43740,1,1,3578.27,286.2616,89.4568,0.0,Cory,Arun,1983-12-18,M,S,20000.0,0,2011-01-08,"Road-150 Red, 48",Red,H ,R ,2011-01-08,2011,January,Milsons Point,Australia,No Discount,0.0,Pacific
SO43741,1,1,3578.27,286.2616,89.4568,0.0,Jeremiah,Martinez,1958-09-01,M,S,70000.0,3,2011-01-09,"Road-150 Red, 62",Red,H ,R ,2011-01-09,2011,January,Ballard,United States,No Discount,0.0,North America
SO43742,1,1,3578.27,286.2616,89.4568,0.0,Tamara,Lal,1961-06-17,F,S,160000.0,3,2011-01-09,"Road-150 Red, 56",Red,H ,R ,2011-01-09,2011,January,London,United Kingdom,No Discount,0.0,Europe
SO43743,1,1,3399.99,271.9992,84.9998,0.0,Marco,Mehta,1969-11-06,M,M,60000.0,3,2011-01-09,"Mountain-100 Silver, 48",Silver,H ,M ,2011-01-09,2011,January,Warrnambool,Australia,No Discount,0.0,Pacific
SO43744,1,1,3578.27,286.2616,89.4568,0.0,Haley,Ward,1976-09-16,F,S,90000.0,0,2011-01-09,"Road-150 Red, 52",Red,H ,R ,2011-01-09,2011,January,Rockhampton,Australia,No Discount,0.0,Pacific
SO43745,1,1,3578.27,286.2616,89.4568,0.0,Manuel,Fernandez,1985-07-10,M,S,10000.0,0,2011-01-10,"Road-150 Red, 44",Red,H ,R ,2011-01-10,2011,January,Malabar,Australia,No Discount,0.0,Pacific
SO43746,1,1,3578.27,286.2616,89.4568,0.0,Kelvin,Liang,1985-06-02,M,S,90000.0,0,2011-01-10,"Road-150 Red, 48",Red,H ,R ,2011-01-10,2011,January,Perth,Australia,No Discount,0.0,Pacific
SO43747,1,1,3578.27,286.2616,89.4568,0.0,Christian,Jackson,1962-06-02,M,S,80000.0,3,2011-01-11,"Road-150 Red, 56",Red,H ,R ,2011-01-11,2011,January,Lincoln Acres,United States,No Discount,0.0,North America
SO43748,1,1,3578.27,286.2616,89.4568,0.0,Alexandria,Hughes,1961-09-29,F,S,90000.0,2,2011-01-11,"Road-150 Red, 52",Red,H ,R ,2011-01-11,2011,January,Lake Oswego,United States,No Discount,0.0,North America
SO43749,1,1,3578.27,286.2616,89.4568,0.0,Paige,Murphy,1968-04-03,F,M,100000.0,1,2011-01-11,"Road-150 Red, 56",Red,H ,R ,2011-01-11,2011,January,Issaquah,United States,No Discount,0.0,North America
SO43750,1,1,3578.27,286.2616,89.4568,0.0,Stacey,Lu,1968-11-12,F,S,30000.0,3,2011-01-11,"Road-150 Red, 44",Red,H ,R ,2011-01-11,2011,January,Versailles,France,No Discount,0.0,Europe
SO43751,1,1,3578.27,286.2616,89.4568,0.0,Darrell,Raji,1984-03-03,M,S,20000.0,0,2011-01-11,"Road-150 Red, 52",Red,H ,R ,2011-01-11,2011,January,Paris,France,No Discount,0.0,Europe
SO43752,1,1,3578.27,286.2616,89.4568,0.0,Luke,Adams,1961-07-21,M,S,120000.0,3,2011-01-11,"Road-150 Red, 44",Red,H ,R ,2011-01-11,2011,January,Paderborn,Germany,No Discount,0.0,Europe
SO43753,1,1,3578.27,286.2616,89.4568,0.0,Tabitha,Arthur,1955-11-12,F,M,30000.0,3,2011-01-11,"Road-150 Red, 62",Red,H ,R ,2011-01-11,2011,January,Bendigo,Australia,No Discount,0.0,Pacific
SO43754,1,1,3578.27,286.2616,89.4568,0.0,Morgan,Phillips,1980-07-18,F,S,90000.0,0,2011-01-12,"Road-150 Red, 48",Red,H ,R ,2011-01-12,2011,January,Olympia,United States,No Discount,0.0,North America
SO43755,1,1,3578.27,286.2616,89.4568,0.0,Kayla,Long,1970-01-01,F,S,70000.0,3,2011-01-12,"Road-150 Red, 44",Red,H ,R ,2011-01-12,2011,January,Novato,United States,No Discount,0.0,North America
SO43756,1,1,699.0982,55.9279,17.4775,0.0,Cedric,Liang,1954-09-08,M,S,160000.0,3,2011-01-12,"Road-650 Black, 58",Black,L ,R ,2011-01-12,2011,January,London,United Kingdom,No Discount,0.0,Europe
SO43757,1,1,3374.99,269.9992,84.3748,0.0,Shannon,Wang,1949-12-24,F,S,20000.0,4,2011-01-12,"Mountain-100 Black, 44",Black,H ,M ,2011-01-12,2011,January,Sunbury,Australia,No Discount,0.0,Pacific
SO43758,1,1,3578.27,286.2616,89.4568,0.0,Jackson,Li,1967-05-13,M,S,130000.0,1,2011-01-13,"Road-150 Red, 62",Red,H ,R ,2011-01-13,2011,January,Imperial Beach,United States,No Discount,0.0,North America
SO43759,1,1,3578.27,286.2616,89.4568,0.0,Jon,Chander,1963-01-03,M,M,130000.0,2,2011-01-13,"Road-150 Red, 62",Red,H ,R ,2011-01-13,2011,January,Hof,Germany,No Discount,0.0,Europe
SO43760,1,1,3578.27,286.2616,89.4568,0.0,Tiffany,Gao,1965-08-02,F,S,80000.0,2,2011-01-13,"Road-150 Red, 56",Red,H ,R ,2011-01-13,2011,January,Goulburn,Australia,No Discount,0.0,Pacific
SO43761,1,1,3578.27,286.2616,89.4568,0.0,Brenda,Fernandez,1959-05-05,F,M,40000.0,3,2011-01-13,"Road-150 Red, 62",Red,H ,R ,2011-01-13,2011,January,Seaford,Australia,No Discount,0.0,Pacific
SO43762,1,1,3578.27,286.2616,89.4568,0.0,Courtney,Carter,1964-05-07,F,M,60000.0,1,2011-01-14,"Road-150 Red, 56",Red,H ,R ,2011-01-14,2011,January,Lakewood,United States,No Discount,0.0,North America
SO43763,1,1,3578.27,286.2616,89.4568,0.0,Martha,Liang,1983-11-22,F,M,20000.0,0,2011-01-14,"Road-150 Red, 52",Red,H ,R ,2011-01-14,2011,January,Goulburn,Australia,No Discount,0.0,Pacific
SO43764,1,1,3578.27,286.2616,89.4568,0.0,Ebony,Ashe,1981-02-18,F,S,90000.0,0,2011-01-14,"Road-150 Red, 62",Red,H ,R ,2011-01-14,2011,January,Matraville,Australia,No Discount,0.0,Pacific
SO43765,1,1,3399.99,271.9992,84.9998,0.0,Jacquelyn,Suarez,1969-08-05,F,S,70000.0,0,2011-01-14,"Mountain-100 Silver, 44",Silver,H ,M ,2011-01-14,2011,January,East Brisbane,Australia,No Discount,0.0,Pacific
SO43766,1,1,3578.27,286.2616,89.4568,0.0,Krystal,Holt,1981-12-17,F,S,10000.0,1,2011-01-15,"Road-150 Red, 52",Red,H ,R ,2011-01-15,2011,January,Cranbourne,Australia,No Discount,0.0,Pacific
SO43767,1,1,3374.99,269.9992,84.3748,0.0,Eugene,Huang,1976-05-10,M,S,60000.0,3,2011-01-15,"Mountain-100 Black, 44",Black,H ,M ,2011-01-15,2011,January,Seaford,Australia,No Discount,0.0,Pacific
SO43768,1,1,3578.27,286.2616,89.4568,0.0,Evan,Bailey,1960-12-05,M,M,60000.0,2,2011-01-16,"Road-150 Red, 48",Red,H ,R ,2011-01-16,2011,January,Seattle,United States,No Discount,0.0,North America
SO43769,1,1,3578.27,286.2616,89.4568,0.0,Gabrielle,Jenkins,1968-12-22,F,M,60000.0,3,2011-01-16,"Road-150 Red, 48",Red,H ,R ,2011-01-16,2011,January,Haney,Canada,No Discount,0.0,North America
SO43770,1,1,3578.27,286.2616,89.4568,0.0,Warren,Ye,1962-01-05,M,M,60000.0,2,2011-01-16,"Road-150 Red, 48",Red,H ,R ,2011-01-16,2011,January,Bellingham,United States,No Discount,0.0,North America
SO43771,1,1,699.0982,55.9279,17.4775,0.0,Ashley,Washington,1976-03-20,F,M,50000.0,1,2011-01-16,"Road-650 Red, 52",Red,L ,R ,2011-01-16,2011,January,Long Beach,United States,No Discount,0.0,North America
SO43772,1,1,3578.27,286.2616,89.4568,0.0,Damien,Huang,1985-01-20,M,M,20000.0,0,2011-01-16,"Road-150 Red, 48",Red,H ,R ,2011-01-16,2011,January,Hawthorne,Australia,No Discount,0.0,Pacific
SO43773,1,1,3578.27,286.2616,89.4568,0.0,Arthur,Perez,1984-04-23,M,S,20000.0,0,2011-01-16,"Road-150 Red, 56",Red,H ,R ,2011-01-16,2011,January,Sunbury,Australia,No Discount,0.0,Pacific
SO43774,1,1,3578.27,286.2616,89.4568,0.0,Roy,Raman,1960-01-01,M,M,80000.0,2,2011-01-16,"Road-150 Red, 52",Red,H ,R ,2011-01-16,2011,January,Goulburn,Australia,No Discount,0.0,Pacific
SO43775,1,1,3399.99,271.9992,84.9998,0.0,Jessie,Zhao,1952-06-05,M,M,30000.0,2,2011-01-16,"Mountain-100 Silver, 48",Silver,H ,M ,2011-01-16,2011,January,Warrnambool,Australia,No Discount,0.0,Pacific
SO43776,1,1,3578.27,286.2616,89.4568,0.0,James,Flores,1963-04-08,M,M,130000.0,3,2011-01-17,"Road-150 Red, 56",Red,H ,R ,2011-01-17,2011,January,Neunkirchen,Germany,No Discount,0.0,Europe
SO43777,1,1,3578.27,286.2616,89.4568,0.0,Troy,Sai,1985-08-03,M,M,10000.0,0,2011-01-17,"Road-150 Red, 44",Red,H ,R ,2011-01-17,2011,January,Hobart,Australia,No Discount,0.0,Pacific
SO43778,1,1,3399.99,271.9992,84.9998,0.0,Clarence,Rai,1955-10-06,M,S,30000.0,2,2011-01-17,"Mountain-100 Silver, 42",Silver,H ,M ,2011-01-17,2011,January,Bendigo,Australia,No Discount,0.0,Pacific
SO43779,1,1,699.0982,55.9279,17.4775,0.0,Warren,Zhang,1961-10-02,M,S,80000.0,1,2011-01-17,"Road-650 Red, 44",Red,L ,R ,2011-01-17,2011,January,Coffs Harbour,Australia,No Discount,0.0,Pacific
SO43780,1,1,3578.27,286.2616,89.4568,0.0,Melody,Diaz,1983-03-16,F,S,20000.0,0,2011-01-18,"Road-150 Red, 44",Red,H ,R ,2011-01-18,2011,January,Les Ulis,France,No Discount,0.0,Europe
SO43781,1,1,3578.27,286.2616,89.4568,0.0,Monique,Ramos,1960-02-05,F,S,80000.0,2,2011-01-18,"Road-150 Red, 48",Red,H ,R ,2011-01-18,2011,January,Warrnambool,Australia,No Discount,0.0,Pacific
SO43782,1,1,3578.27,286.2616,89.4568,0.0,Melvin,She,1986-01-24,M,M,20000.0,0,2011-01-18,"Road-150 Red, 48",Red,H ,R ,2011-01-18,2011,January,Townsville,Australia,No Discount,0.0,Pacific
SO43783,1,1,3578.27,286.2616,89.4568,0.0,Cameron,Thompson,1984-05-12,M,M,90000.0,0,2011-01-18,"Road-150 Red, 48",Red,H ,R ,2011-01-18,2011,January,Sydney,Australia,No Discount,0.0,Pacific
SO43784,1,1,3578.27,286.2616,89.4568,0.0,Jessica,Sanchez,1960-06-20,F,M,70000.0,3,2011-01-19,"Road-150 Red, 62",Red,H ,R ,2011-01-19,2011,January,Daly City,United States,No Discount,0.0,North America
SO43785,1,1,3578.27,286.2616,89.4568,0.0,Ivan,Raman,1983-02-18,M,S,30000.0,0,2011-01-19,"Road-150 Red, 44",Red,H ,R ,2011-01-19,2011,January,Versailles,France,No Discount,0.0,Europe
SO43786,1,1,3578.27,286.2616,89.4568,0.0,Clinton,Moreno,1986-05-05,M,S,20000.0,0,2011-01-19,"Road-150 Red, 44",Red,H ,R ,2011-01-19,2011,January,Paris,France,No Discount,0.0,Europe
SO43787,1,1,3399.99,271.9992,84.9998,0.0,Don,Lal,1968-09-01,M,S,20000.0,4,2011-01-19,"Mountain-100 Silver, 38",Silver,H ,M ,2011-01-19,2011,January,Berlin,Germany,No Discount,0.0,Europe
SO43788,1,1,3374.99,269.9992,84.3748,0.0,Latoya,Goel,1969-10-02,F,M,130000.0,2,2011-01-19,"Mountain-100 Black, 48",Black,H ,M ,2011-01-19,2011,January,London,United Kingdom,No Discount,0.0,Europe
SO43789,1,1,3374.99,269.9992,84.3748,0.0,Tristan,Butler,1951-11-06,M,M,40000.0,5,2011-01-19,"Mountain-100 Black, 48",Black,H ,M ,2011-01-19,2011,January,Kirkland,United States,No Discount,0.0,North America
SO43790,1,1,3399.99,271.9992,84.9998,0.0,Abigail,Perry,1950-03-05,F,S,30000.0,5,2011-01-19,"Mountain-100 Silver, 38",Silver,H ,M ,2011-01-19,2011,January,W. Linn,United States,No Discount,0.0,North America
SO43791,1,1,3578.27,286.2616,89.4568,0.0,Dustin,Lal,1955-08-07,M,M,40000.0,2,2011-01-19,"Road-150 Red, 56",Red,H ,R ,2011-01-19,2011,January,Springwood,Australia,No Discount,0.0,Pacific
SO43792,1,1,3578.27,286.2616,89.4568,0.0,Andres,Lal,1979-03-04,M,S,150000.0,5,2011-01-19,"Road-150 Red, 48",Red,H ,R ,2011-01-19,2011,January,Port Macquarie,Australia,No Discount,0.0,Pacific
SO43793,1,1,3399.99,271.9992,84.9998,0.0,Jon,Yang,1971-10-06,M,M,90000.0,2,2011-01-19,"Mountain-100 Silver, 38",Silver,H ,M ,2011-01-19,2011,January,Rockhampton,Australia,No Discount,0.0,Pacific
SO43794,1,1,3399.99,271.9992,84.9998,0.0,Jimmy,Moreno,1952-06-19,M,M,30000.0,2,2011-01-19,"Mountain-100 Silver, 48",Silver,H ,M ,2011-01-19,2011,January,Bendigo,Australia,No Discount,0.0,Pacific
SO43795,1,1,3578.27,286.2616,89.4568,0.0,Maria,Henderson,1970-09-30,F,M,120000.0,3,2011-01-20,"Road-150 Red, 48",Red,H ,R ,2011-01-20,2011,January,La Jolla,United States,No Discount,0.0,North America
SO43796,1,1,699.0982,55.9279,17.4775,0.0,Jaime,Gomez,1981-09-23,M,S,30000.0,0,2011-01-20,"Road-650 Black, 52",Black,L ,R ,2011-01-20,2011,January,Metz,France,No Discount,0.0,Europe
SO43797,1,1,3578.27,286.2616,89.4568,0.0,Francis,Ramos,1959-04-23,M,M,40000.0,3,2011-01-20,"Road-150 Red, 48",Red,H ,R ,2011-01-20,2011,January,Wollongong,Australia,No Discount,0.0,Pacific
SO43798,1,1,3578.27,286.2616,89.4568,0.0,Tonya,She,1985-02-07,F,S,10000.0,1,2011-01-20,"Road-150 Red, 62",Red,H ,R ,2011-01-20,2011,January,Hawthorne,Australia,No Discount,0.0,Pacific
SO43799,1,1,3578.27,286.2616,89.4568,0.0,Danny,Gomez,1976-02-23,M,M,110000.0,0,2011-01-20,"Road-150 Red, 48",Red,H ,R ,2011-01-20,2011,January,South Melbourne,Australia,No Discount,0.0,Pacific
SO43800,1,1,3578.27,286.2616,89.4568,0.0,Brittany,Gonzales,1975-05-01,F,M,40000.0,2,2011-01-21,"Road-150 Red, 44",Red,H ,R ,2011-01-21,2011,January,Royal Oak,Canada,No Discount,0.0,North America
SO43801,1,1,3578.27,286.2616,89.4568,0.0,Blake,Butler,1960-05-11,M,S,90000.0,3,2011-01-21,"Road-150 Red, 44",Red,H ,R ,2011-01-21,2011,January,Gateshead,United Kingdom,No Discount,0.0,Europe
SO43802,1,1,3578.27,286.2616,89.4568,0.0,Armando,Moreno,1982-09-22,M,S,20000.0,0,2011-01-21,"Road-150 Red, 48",Red,H ,R ,2011-01-21,2011,January,Orleans,France,No Discount,0.0,Europe
SO43803,1,1,3578.27,286.2616,89.4568,0.0,Alexa,Sanders,1972-12-08,F,M,70000.0,3,2011-01-22,"Road-150 Red, 56",Red,H ,R ,2011-01-22,2011,January,N. Vancouver,Canada,No Discount,0.0,North America
SO43804,1,1,3578.27,286.2616,89.4568,0.0,Savannah,Morris,1964-05-13,F,M,80000.0,4,2011-01-22,"Road-150 Red, 62",Red,H ,R ,2011-01-22,2011,January,Leeds,United Kingdom,No Discount,0.0,Europe
SO43805,1,1,699.0982,55.9279,17.4775,0.0,Samuel,Hernandez,1973-08-17,M,S,100000.0,2,2011-01-22,"Road-650 Red, 48",Red,L ,R ,2011-01-22,2011,January,Everett,United States,No Discount,0.0,North America
SO43806,1,1,3578.27,286.2616,89.4568,0.0,Sandra,Huang,1984-07-10,F,M,20000.0,0,2011-01-22,"Road-150 Red, 48",Red,H ,R ,2011-01-22,2011,January,Hervey Bay,Australia,No Discount,0.0,Pacific
SO43807,1,1,3578.27,286.2616,89.4568,0.0,Ernest,Lin,1985-02-23,M,M,20000.0,0,2011-01-23,"Road-150 Red, 48",Red,H ,R ,2011-01-23,2011,January,Orleans,France,No Discount,0.0,Europe
SO43808,1,1,3578.27,286.2616,89.4568,0.0,Allen,Garcia,1963-05-07,M,M,130000.0,2,2011-01-23,"Road-150 Red, 52",Red,H ,R ,2011-01-23,2011,January,Münster,Germany,No Discount,0.0,Europe
SO43809,1,1,3578.27,286.2616,89.4568,0.0,Fernando,Thompson,1965-02-10,M,S,80000.0,2,2011-01-23,"Road-150 Red, 62",Red,H ,R ,2011-01-23,2011,January,Sydney,Australia,No Discount,0.0,Pacific
SO43810,1,1,3399.99,271.9992,84.9998,0.0,Elizabeth,Johnson,1979-08-05,F,S,80000.0,5,2011-01-23,"Mountain-100 Silver, 42",Silver,H ,M ,2011-01-23,2011,January,Wollongong,Australia,No Discount,0.0,Pacific
